dz_2011_code,ratio_dz_intersection_com
S01007645,0.0570073
S01007646,0.1532436
S01007655,0.0009675
S01012250,0.0772234
S01012262,0.1966297
S01012268,0.0009023
S01012271,0.3639323
S01012272,0.7753795
S01012273,0.5343272
S01012274,1
S01012275,1
S01012276,1
S01012277,1
S01012278,1
S01012279,1
S01012280,1
S01012281,1
S01012282,1
S01012283,1
S01012284,1
S01012285,1
S01012286,1
S01012287,1
S01012288,1
S01012289,0.0213749
S01012293,0.6334173
S01012294,0.7240857
S01012297,0.2193183
S01012299,0.1635277
S01012341,0.0452484
S01012342,0.0064939
S01012355,0.5101326
S01012356,1
S01012357,0.915698
S01012358,0.4689647
S01012359,1
S01012360,1
S01012361,1
S01012362,1
S01012363,1
S01012364,1
S01012365,1
S01012366,1
S01012367,1
S01012368,1
S01012369,1
S01012370,1
S01012371,1
S01012372,1
S01012373,1
S01012374,1
S01012375,1
S01012376,0.9697034
S01012377,0.5801763
S01012378,0.9437961
S01012379,0.8369855
S01012380,1
S01012381,1
S01012382,1
S01012383,1
S01012384,1
S01012385,1
S01012386,1
