dz_2011_code,ratio_dz_intersection_com
S01009413,0.5933683
S01009414,1
S01009415,1
S01009416,1
S01009417,0.3632326
S01009418,1
S01009419,0.8593577
S01009420,0.9158515
S01009421,0.9320521
S01009422,1
S01009423,1
S01009424,1
S01009425,0.9998932
S01009426,1
S01009427,1
S01009428,1
S01009429,1
S01009430,1
S01009431,0.999978
S01009432,1
S01009433,1
S01009434,1
S01009435,1
S01009436,1
S01009437,1
S01009438,1
S01009439,1
S01009440,1
S01009441,1
S01009442,0.6834742
S01009443,0.90484
S01009444,1
S01009445,1
S01009446,1
S01009447,1
S01009448,1
S01009449,1
S01009450,1
S01009451,1
S01009452,1
S01009453,1
S01009456,0.0690274
S01009489,1
S01009490,0.101489
S01009491,0.6307438
S01009519,0.0050291
S01009541,0.0770808
S01009545,1
S01009546,1
S01009547,0.9159102
S01009548,1
S01009549,0.7456758
S01009550,1
S01009551,1
S01009552,0.9781913
S01009553,1
S01009554,0.1276098
S01009555,1
S01009556,1
S01009557,1
S01009558,1
S01009559,1
S01009560,1
S01009561,1
S01009562,1
S01009563,1
S01009564,1
S01009565,1
S01009566,1
S01009567,1
S01009568,1
S01009569,1
S01009570,1
S01009571,1
S01009572,1
S01009573,1
S01009574,1
S01009575,1
S01009576,1
S01009577,1
S01009578,1
S01009579,1
S01009580,1
S01009581,1
S01009582,1
S01009583,1
S01009584,1
S01009585,1
S01009586,1
S01009587,1
S01009588,1
S01009589,1
S01009590,1
S01009591,1
S01009592,1
S01009593,1
S01009594,0.9992849
S01009595,1
S01009596,1
S01009597,1
S01009598,1
S01009599,1
S01009600,1
S01009601,1
S01009602,1
S01009603,1
S01009604,1
S01009605,1
S01009606,1
S01009607,1
S01009608,1
S01009609,1
S01009610,1
S01009611,0.3522869
S01009612,0.8660252
S01009613,0.8588488
S01009614,0.3757613
S01009662,0.020674
S01009667,0.4149066
S01009668,1
S01009669,0.654792
S01009670,0.4383402
S01009671,0.1887733
S01009675,0.3143819
S01011835,0.0042401
S01011836,0.2807277
S01011837,0.0042789
