dz_2011_code,ratio_dz_intersection_com
S01007129,3.25e-05
S01007132,0.0030344
S01007133,0.0010044
S01007134,9.92e-05
S01007720,0.0220093
S01007798,0.8199176
S01007807,0.6050215
S01007808,1
S01007809,0.8279564
S01007810,1
S01007811,0.9970442
S01007812,1
S01007813,1
S01007814,1
S01007815,0.9904321
S01007816,1
S01007817,1
S01007818,0.9991942
S01007819,1
S01007820,1
S01007821,1
S01007822,1
S01007823,1
S01007824,0.0036531
S01007825,0.0106957
S01007826,0.0491496
S01007846,0.0241978
S01007850,0.0674099
S01007857,1
S01007858,0.9999456
S01007859,1
S01007860,1
S01007861,1
S01007862,1
S01007863,1
S01007864,1
S01007865,0.997896
S01007866,1
S01007867,0.0004329
