oa_2011_code,ratio_oa_intersection_com
S00110662,1
S00110862,1
S00110967,1
S00109028,0.2561795
S00109811,1
S00110836,1
S00109794,1
S00111992,1
S00109039,0.1773699
S00112133,1
S00111375,1
S00109869,1
S00110677,1
S00110342,1
S00111721,0.3527005
S00111945,1
S00110315,1
S00109786,1
S00109787,1
S00110378,1
S00110252,1
S00110835,1
S00109089,0.3705724
S00110279,1
S00112003,1
S00110329,1
S00111364,1
S00110834,1
S00109909,1
S00110261,1
S00110620,1
S00110295,1
S00110837,1
S00111939,1
S00111423,1
S00109887,1
S00111296,1
S00110607,1
S00110841,1
S00110751,1
S00110702,1
S00110314,1
S00110619,1
S00110313,1
S00110346,1
S00110305,1
S00109834,0.2243567
S00109789,1
S00112005,1
S00111425,1
S00111937,1
S00110663,1
S00110599,1
S00111424,1
S00110660,1
S00110651,1
S00111632,1
S00110848,1
S00111987,1
S00110742,1
S00110579,1
S00111942,1
S00112001,1
S00109882,1
S00111996,1
S00111861,1
S00110773,1
S00110603,1
S00110256,1
S00110594,1
S00110281,1
S00110631,1
S00110601,1
S00110598,1
S00110689,1
S00111628,1
S00110615,1
S00110306,1
S00110714,1
S00111636,1
S00111940,1
S00110811,1
S00110845,1
S00110711,1
S00109805,1
S00110818,1
S00110803,1
S00110325,1
S00110839,1
S00110330,1
S00110585,1
S00110840,1
S00112134,1
S00110756,1
S00110296,1
S00110272,1
S00111869,1
S00109817,1
S00110687,1
S00111412,1
S00110685,1
S00110730,1
S00111353,0.9770777
S00111629,1
S00112132,1
S00109014,1
S00110158,0.0052118
S00110326,1
S00109051,0.0211063
S00110578,1
S00110792,1
S00110380,1
S00110776,1
S00110823,1
S00112045,1
S00109844,1
S00110722,1
S00110656,1
S00110303,1
S00110779,1
S00110814,1
S00111863,1
S00110842,1
S00110345,1
S00110278,0.6756272
S00110847,1
S00110390,1
S00110639,1
S00109795,1
S00110854,1
S00111378,1
S00109889,1
S00110829,1
S00110352,1
S00112043,1
S00110716,1
S00112010,1
S00109017,1
S00110262,1
S00110264,1
S00110666,1
S00111706,0.0792825
S00110582,1
S00112002,1
S00110647,1
S00110801,1
S00112136,1
S00110758,1
S00112006,1
S00111866,1
S00110975,1
S00109884,0.1149029
S00109896,1
S00109791,1
S00111373,1
S00109819,1
S00112009,1
S00112013,1
S00110347,1
S00110344,1
S00110327,1
S00110700,1
S00111872,1
S00110684,1
S00109888,1
S00110679,1
S00110683,1
S00111988,0.9982907
S00110701,1
S00110636,1
S00110853,1
S00111723,0.6083212
S00111952,1
S00110832,1
S00110696,1
S00110311,1
S00110976,1
S00111420,1
S00109798,1
S00110630,1
S00112120,1
S00110267,1
S00111862,1
S00110322,1
S00110299,1
S00109899,1
S00110831,1
S00110710,1
S00110309,1
S00110972,1
S00110713,1
S00111365,1
S00110351,1
S00111359,1
S00110968,1
S00110320,1
S00111360,1
S00109866,0.133842
S00110616,1
S00110749,1
S00111409,1
S00110759,1
S00110621,1
S00109085,1
S00109804,1
S00110740,1
S00109895,1
S00111633,1
S00110813,1
S00109785,1
S00110584,1
S00110781,1
S00111993,1
S00110805,1
S00111559,1
S00110588,1
S00110791,1
S00111298,1
S00111376,1
S00110308,1
S00109907,1
S00110851,1
S00110650,1
S00110618,1
S00109788,1
S00111427,1
S00110569,1
S00110291,1
S00110681,1
S00109890,1
S00110250,1
S00110337,1
S00111995,1
S00111619,0.5558316
S00109838,1
S00111989,1
S00110672,1
S00110694,1
S00110293,1
S00110586,1
S00110770,1
S00111308,1
S00110850,1
S00109903,1
S00109872,0.1988885
S00110857,1
S00111497,1
S00110648,1
S00110804,1
S00109886,1
S00111859,1
S00110806,1
S00111620,1
S00109891,1
S00110798,1
S00110591,1
S00110783,1
S00111944,1
S00111985,1
S00110606,1
S00110592,1
S00109813,1
S00110691,1
S00110705,1
S00110761,1
S00110698,1
S00110274,1
S00112137,1
S00112012,1
S00109800,1
S00110785,1
S00112126,1
S00110665,1
S00110769,1
S00110859,1
S00111426,1
S00110800,1
S00109840,1
S00109871,0.267258
S00109892,1
S00110718,1
S00109867,1
S00110273,1
S00111368,1
S00110735,1
S00110825,1
S00111616,0.9603317
S00110748,1
S00109816,1
S00110772,1
S00111431,0.5716869
S00110760,1
S00111362,1
S00111342,0.9734998
S00110640,1
S00110590,1
S00110780,1
S00110827,1
S00110653,1
S00111860,1
S00112127,1
S00111997,1
S00109015,1
S00112042,1
S00110597,1
S00110375,1
S00109883,0.5645986
S00109802,1
S00110317,1
S00111981,1
S00110258,1
S00109848,1
S00110336,1
S00110782,1
S00110706,1
S00110381,0.5779869
S00109808,1
S00110268,1
S00110353,1
S00110277,1
S00110575,1
S00109796,1
S00110669,1
S00110971,1
S00112135,1
S00110675,1
S00110974,1
S00110310,1
S00110388,1
S00110855,1
S00111634,1
S00110661,1
S00109781,1
S00110294,1
S00110826,1
S00111617,1
S00111938,0.8592317
