oa_22_code,ratio_oa_intersection_com
S00140162,0.0001292
S00140173,0.0005547
S00140179,0.0013828
S00140181,0.007141
S00140217,0.0001335
S00140266,0.0040566
S00140286,0.0147762
S00140304,0.0040373
S00147328,0.8316175
S00147329,1
S00147330,0.98943
S00147331,1
S00147332,0.9986986
S00147334,1
S00147335,1
S00147336,1
S00147337,1
S00147338,1
S00147339,0.9390808
S00147340,1
S00147341,1
S00147342,1
S00147343,1
S00147344,1
S00147345,0.9957526
S00147346,1
S00147347,1
S00147348,1
S00147350,1
S00147351,1
S00147352,1
S00147353,1
S00147354,0.985491
S00147355,1
S00147356,1
S00147357,1
S00147358,1
S00147359,1
S00147361,1
S00147363,1
S00147364,1
S00147365,1
S00147366,0.9406377
S00147368,1
S00147369,1
S00147370,1
S00147371,1
S00147372,1
S00147373,1
S00147374,0.9113082
S00147375,1
S00147376,1
S00147377,1
S00147378,1
S00147379,1
S00147380,1
S00147381,0.9877418
S00147383,0.9988863
S00147385,1
S00147386,0.9947618
S00147387,1
S00147388,1
S00147391,1
S00147393,0.985869
S00147394,1
S00147395,1
S00147396,1
S00147399,1
S00147400,1
S00147402,1
S00147404,1
S00147409,1
S00147413,1
S00147414,1
S00147416,1
S00147417,1
S00147418,1
S00147420,1
S00147422,1
S00147423,1
S00147424,1
S00147429,1
S00147430,1
S00147431,1
S00147435,1
S00147439,1
S00147440,1
S00147445,1
S00147447,1
S00147451,1
S00147453,1
S00147454,0.0073554
S00147455,1
S00147456,1
S00147457,1
S00147460,1
S00147461,1
S00147462,1
S00147466,1
S00147470,0.0085456
S00147471,1
S00147474,1
S00147475,1
S00147476,1
S00147480,1
S00147481,1
S00147483,1
S00147485,1
S00147486,1
S00147494,1
S00147496,1
S00147497,1
S00147498,1
S00147502,1
S00147503,1
S00147504,1
S00147505,1
S00147507,1
S00147509,1
S00147510,0.003669
S00147515,1
S00147516,1
S00147518,1
S00147519,1
S00147523,1
S00147525,1
S00147530,0.0355831
S00147531,1
S00147533,1
S00147534,1
S00147538,1
S00147539,1
S00147540,1
S00147544,1
S00147546,1
S00147548,1
S00147551,1
S00147553,1
S00147555,1
S00147558,1
S00147561,1
S00147563,1
S00147564,1
S00147565,1
S00147566,1
S00147567,1
S00147568,1
S00147570,1
S00147571,1
S00147572,1
S00147574,1
S00147577,1
S00147583,1
S00147584,1
S00147587,1
S00147590,1
S00147591,1
S00147594,1
S00147596,1
S00147599,1
S00147600,1
S00147601,1
S00147602,1
S00147603,1
S00147604,1
S00147606,1
S00147612,1
S00147613,0.9128076
S00147615,1
S00147616,1
S00147617,1
S00147621,1
S00147622,0.9020534
S00147624,1
S00147626,0.9999083
S00147627,0.011678
S00147629,1
S00147631,1
S00147632,1
S00147633,1
S00147638,1
S00147640,0.9999998
S00147653,0.0304982
S00147654,0.0298788
S00147657,0.0188194
S00147658,0.0030105
S00147662,0.0050371
S00147668,0.010721
S00147669,0.1140495
S00147675,0.131172
S00147680,0.0609445
S00147690,0.1700947
S00147715,0.1783511
S00147716,0.007903
S00147776,0.00108
S00147787,0.0346033
