oa_22_code,ratio_oa_intersection_com
S00140404,1
S00140406,0.9371948
S00140409,0.2382655
S00140416,1
S00140417,1
S00140419,1
S00140421,0.7455595
S00140423,0.6495544
S00140430,0.6877532
S00164014,0.0657453
S00164052,0.9286295
S00164053,0.1453736
S00164061,1
S00164062,1
S00164063,1
S00164064,1
S00164065,1
S00164066,1
S00164067,1
S00164068,1
S00164069,1
S00164070,1
S00164071,1
S00164073,0.7005228
S00164074,1
S00164075,1
S00164077,1
S00164078,1
S00164079,1
S00164080,1
S00164081,1
S00164082,1
S00164083,1
S00164084,1
S00164085,0.9956246
S00164086,1
S00170791,0.03681
